Net Status Report
Filename     : C:\Users\Majicheng\Desktop\原理图\项目.PcbDoc
Date         : 2020/7/13
Time         : 11:26:51
Time Elapsed : 00:00:00

Nets, Layer, Length
    12V, Signal Layers Only, 0mils
    12V_IN, Signal Layers Only, 0mils
    3V3, Signal Layers Only, 0mils
    A/KI1, Signal Layers Only, 0mils
    B/KI2, Signal Layers Only, 0mils
    BOOT0, Signal Layers Only, 0mils
    C/KI3, Signal Layers Only, 0mils
    D/KI4, Signal Layers Only, 0mils
    DIG1, Signal Layers Only, 0mils
    DIG2, Signal Layers Only, 0mils
    DIG3, Signal Layers Only, 0mils
    DIG4, Signal Layers Only, 0mils
    DP/KP, Signal Layers Only, 0mils
    E/KI5, Signal Layers Only, 0mils
    F/KI6, Signal Layers Only, 0mils
    G/KI7, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    JDQ11, Signal Layers Only, 0mils
    JDQ12, Signal Layers Only, 0mils
    JDQ22, Signal Layers Only, 0mils
    JDQ32, Signal Layers Only, 0mils
    JDQ42, Signal Layers Only, 0mils
    M11_OUT, Signal Layers Only, 0mils
    M12_OUT, Signal Layers Only, 0mils
    M21_OUT, Signal Layers Only, 0mils
    M22_OUT, Signal Layers Only, 0mils
    NRST, Signal Layers Only, 0mils
    NetBEEP_1, Signal Layers Only, 0mils
    NetC15_2, Signal Layers Only, 0mils
    NetD1_K, Signal Layers Only, 0mils
    NetD8_A, Signal Layers Only, 0mils
    NetGLJC_7, Signal Layers Only, 0mils
    NetJXH1_1, Signal Layers Only, 0mils
    NetJXH1_3, Signal Layers Only, 0mils
    NetJXH1_4, Signal Layers Only, 0mils
    NetJXH2_1, Signal Layers Only, 0mils
    NetJXH2_3, Signal Layers Only, 0mils
    NetJXH2_4, Signal Layers Only, 0mils
    NetJXH3_1, Signal Layers Only, 0mils
    NetJXH3_3, Signal Layers Only, 0mils
    NetJXH3_4, Signal Layers Only, 0mils
    NetJXH4_1, Signal Layers Only, 0mils
    NetJXH4_3, Signal Layers Only, 0mils
    NetJXH4_4, Signal Layers Only, 0mils
    NetK2_3, Signal Layers Only, 0mils
    NetK3_3, Signal Layers Only, 0mils
    NetLED1_2, Signal Layers Only, 0mils
    NetLED2_2, Signal Layers Only, 0mils
    NetLED3_2, Signal Layers Only, 0mils
    NetLED4_2, Signal Layers Only, 0mils
    NetQ5_B, Signal Layers Only, 0mils
    NetR11_2, Signal Layers Only, 0mils
    NetR13_2, Signal Layers Only, 0mils
    NetR15_2, Signal Layers Only, 0mils
    NetR17_2, Signal Layers Only, 0mils
    NetR19_2, Signal Layers Only, 0mils
    NetR21_2, Signal Layers Only, 0mils
    NetR23_2, Signal Layers Only, 0mils
    NetR25_2, Signal Layers Only, 0mils
    NetR27_2, Signal Layers Only, 0mils
    NetR29_2, Signal Layers Only, 0mils
    NetR31_2, Signal Layers Only, 0mils
    NetR9_2, Signal Layers Only, 0mils
    Net_1, Signal Layers Only, 0mils
    Net_5, Signal Layers Only, 0mils
    Net_6, Signal Layers Only, 0mils
    Net_9, Signal Layers Only, 0mils
    PA0, Signal Layers Only, 0mils
    PA1, Signal Layers Only, 0mils
    PA10, Signal Layers Only, 0mils
    PA11, Signal Layers Only, 0mils
    PA12, Signal Layers Only, 0mils
    PA13, Signal Layers Only, 0mils
    PA14, Signal Layers Only, 0mils
    PA15, Signal Layers Only, 0mils
    PA2, Signal Layers Only, 0mils
    PA3, Signal Layers Only, 0mils
    PA4, Signal Layers Only, 0mils
    PA5, Signal Layers Only, 0mils
    PA6, Signal Layers Only, 0mils
    PA7, Signal Layers Only, 0mils
    PA8, Signal Layers Only, 0mils
    PA9, Signal Layers Only, 0mils
    PB0, Signal Layers Only, 0mils
    PB1, Signal Layers Only, 0mils
    PB10, Signal Layers Only, 0mils
    PB11, Signal Layers Only, 0mils
    PB12, Signal Layers Only, 0mils
    PB13, Signal Layers Only, 0mils
    PB14, Signal Layers Only, 0mils
    PB15, Signal Layers Only, 0mils
    PB2, Signal Layers Only, 0mils
    PB3, Signal Layers Only, 0mils
    PB4, Signal Layers Only, 0mils
    PB5, Signal Layers Only, 0mils
    PB6, Signal Layers Only, 0mils
    PB7, Signal Layers Only, 0mils
    PB8, Signal Layers Only, 0mils
    PB9, Signal Layers Only, 0mils
    PC13, Signal Layers Only, 0mils
    PC14, Signal Layers Only, 0mils
    PC15, Signal Layers Only, 0mils
    RT, Signal Layers Only, 0mils
    RTBJ, Signal Layers Only, 0mils
    S, Signal Layers Only, 0mils
    SS, Signal Layers Only, 0mils
    SXCF, Signal Layers Only, 0mils
    SXING, Signal Layers Only, 0mils
    X, Signal Layers Only, 0mils
    XX, Signal Layers Only, 0mils
    XXCF, Signal Layers Only, 0mils
    XXING, Signal Layers Only, 0mils
    ZHA, Signal Layers Only, 0mils
    ZHABJ, Signal Layers Only, 0mils
count : 114
